,sol,earth_date,total_photos
0,185,2013-02-12,186
1,58,2012-10-04,242
2,39,2012-09-15,122
3,111,2012-11-28,501
4,66,2012-10-12,703
5,233,2013-04-02,208
6,228,2013-03-28,4
7,230,2013-03-30,107
8,138,2012-12-25,372
9,227,2013-03-27,80
10,172,2013-01-29,728
11,2,2012-08-08,74
12,92,2012-11-08,9
13,61,2012-10-07,406
14,235,2013-04-04,4
15,149,2013-01-06,193
16,196,2013-02-23,14
17,109,2012-11-25,534
18,117,2012-12-04,64
19,122,2012-12-09,158
20,32,2012-09-07,184
21,169,2013-01-26,220
22,104,2012-11-20,68
23,21,2012-08-27,73
24,56,2012-10-02,122
25,148,2013-01-05,38
26,100,2012-11-16,400
27,187,2013-02-14,46
28,189,2013-02-16,100
29,143,2012-12-30,64
30,132,2012-12-19,188
31,188,2013-02-15,248
32,93,2012-11-09,128
33,80,2012-10-27,95
34,115,2012-12-02,37
35,46,2012-09-22,117
36,90,2012-11-06,122
37,38,2012-09-14,132
38,64,2012-10-10,510
39,97,2012-11-13,20
40,47,2012-09-23,152
41,173,2013-01-30,759
42,156,2013-01-13,78
43,155,2013-01-12,61
44,94,2012-11-10,113
45,113,2012-11-30,133
46,135,2012-12-22,184
47,23,2012-08-29,379
48,107,2012-11-23,432
49,1,2012-08-07,16
50,106,2012-11-22,224
51,62,2012-10-08,28
52,181,2013-02-07,374
53,194,2013-02-21,319
54,98,2012-11-14,40
55,89,2012-11-05,192
56,144,2012-12-31,64
57,20,2012-08-26,1046
58,184,2013-02-11,686
59,30,2012-09-05,87
60,71,2012-10-17,206
61,175,2013-02-01,66
62,126,2012-12-13,98
63,81,2012-10-28,98
64,42,2012-09-18,2683
65,162,2013-01-19,318
66,73,2012-10-20,100
67,51,2012-09-27,292
68,234,2013-04-03,146
69,167,2013-01-24,66
70,125,2012-12-12,137
71,231,2013-03-31,42
72,84,2012-10-31,246
73,37,2012-09-13,1006
74,177,2013-02-03,233
75,180,2013-02-06,103
76,183,2013-02-10,142
77,152,2013-01-09,54
78,192,2013-02-19,744
79,157,2013-01-14,88
80,129,2012-12-16,180
81,108,2012-11-24,270
82,112,2012-11-29,140
83,68,2012-10-14,22
84,3,2012-08-09,338
85,130,2012-12-17,131
86,60,2012-10-06,262
87,121,2012-12-08,344
88,65,2012-10-11,143
89,14,2012-08-20,70
90,168,2013-01-25,267
91,166,2013-01-23,237
92,226,2013-03-26,92
93,75,2012-10-22,139
94,146,2013-01-03,64
95,141,2012-12-28,387
96,116,2012-12-03,171
97,96,2012-11-12,58
98,53,2012-09-29,166
99,159,2013-01-16,199
100,88,2012-11-04,112
101,48,2012-09-24,227
102,26,2012-09-01,76
103,45,2012-09-21,291
104,67,2012-10-13,356
105,224,2013-03-24,26
106,134,2012-12-21,70
107,17,2012-08-23,273
108,57,2012-10-03,125
109,36,2012-09-11,221
110,59,2012-10-05,176
111,176,2013-02-02,155
112,72,2012-10-18,281
113,103,2012-11-19,32
114,186,2013-02-13,584
115,150,2013-01-07,257
116,86,2012-11-02,95
117,10,2012-08-16,26
118,165,2013-01-22,239
119,33,2012-09-08,94
120,49,2012-09-25,266
121,44,2012-09-20,558
122,40,2012-09-16,86
123,232,2013-04-01,254
124,110,2012-11-27,476
125,193,2013-02-20,194
126,151,2013-01-08,83
127,128,2012-12-15,58
128,198,2013-02-25,294
129,223,2013-03-23,76
130,24,2012-08-30,218
131,190,2013-02-17,62
132,216,2013-03-15,2
133,124,2012-12-11,124
134,87,2012-11-03,161
135,91,2012-11-07,14
136,164,2013-01-21,274
137,127,2012-12-14,135
138,43,2012-09-19,91
139,139,2012-12-26,64
140,102,2012-11-18,113
141,153,2013-01-10,275
142,95,2012-11-11,43
143,70,2012-10-16,110
144,225,2013-03-25,4
145,145,2013-01-01,64
146,229,2013-03-29,90
147,195,2013-02-22,23
148,85,2012-11-01,216
149,179,2013-02-05,164
150,76,2012-10-23,120
151,158,2013-01-15,334
152,12,2012-08-18,32
153,215,2013-03-14,6
154,142,2012-12-29,64
155,123,2012-12-10,134
156,154,2013-01-11,271
157,27,2012-09-02,98
158,74,2012-10-21,478
159,119,2012-12-06,86
160,171,2013-01-28,164
161,174,2013-01-31,174
162,222,2013-03-22,11
163,55,2012-10-01,216
164,118,2012-12-05,120
165,35,2012-09-10,33
166,63,2012-10-09,4
167,69,2012-10-15,490
168,200,2013-02-27,88
169,22,2012-08-28,52
170,133,2012-12-20,318
171,120,2012-12-07,424
172,13,2012-08-19,208
173,147,2013-01-04,181
174,199,2013-02-26,19
175,41,2012-09-17,100
176,161,2013-01-18,311
177,50,2012-09-26,372
178,15,2012-08-21,58
179,101,2012-11-17,128
180,25,2012-08-31,382
181,136,2012-12-23,122
182,131,2012-12-18,58
183,137,2012-12-24,550
184,52,2012-09-28,221
185,34,2012-09-09,76
186,78,2012-10-25,716
187,79,2012-10-26,137
188,82,2012-10-29,192
189,163,2013-01-20,264
190,19,2012-08-25,444
191,178,2013-02-04,94
192,29,2012-09-04,68
193,197,2013-02-24,2
194,182,2013-02-09,202
195,54,2012-09-30,353
196,0,2012-08-06,3702
197,160,2013-01-17,244
198,105,2012-11-21,12
199,170,2013-01-27,268
200,77,2012-10-24,166
201,16,2012-08-22,78
202,114,2012-12-01,132
