,camera_name,sol,earth_date,photo_count
0,MAST,134,2012-12-21,16
1,MAST,154,2013-01-11,72
2,RHAZ,64,2012-10-10,2
3,MAHLI,65,2012-10-11,51
4,MAHLI,84,2012-10-31,134
5,CHEMCAM,148,2013-01-05,10
6,NAVCAM,188,2013-02-15,8
7,MAST,131,2012-12-18,4
8,MAST,173,2013-01-30,630
9,RHAZ,113,2012-11-30,1
10,NAVCAM,45,2012-09-21,76
11,CHEMCAM,19,2012-08-25,22
12,FHAZ,234,2013-04-03,2
13,NAVCAM,44,2012-09-20,20
14,MAST,194,2013-02-21,304
15,CHEMCAM,185,2013-02-12,10
16,CHEMCAM,82,2012-10-29,12
17,MAHLI,81,2012-10-28,22
18,CHEMCAM,71,2012-10-17,12
19,CHEMCAM,123,2012-12-10,8
20,CHEMCAM,165,2013-01-22,12
21,MAST,102,2012-11-18,8
22,FHAZ,29,2012-09-04,4
23,NAVCAM,32,2012-09-07,10
24,MAST,158,2013-01-15,36
25,CHEMCAM,116,2012-12-03,14
26,CHEMCAM,111,2012-11-28,12
27,NAVCAM,112,2012-11-29,32
28,CHEMCAM,125,2012-12-12,8
29,MAHLI,173,2013-01-30,111
30,CHEMCAM,234,2013-04-03,10
31,FHAZ,21,2012-08-27,2
32,NAVCAM,183,2013-02-10,32
33,MARDI,30,2012-09-05,2
34,NAVCAM,105,2012-11-21,12
35,RHAZ,56,2012-10-02,2
36,MARDI,52,2012-09-28,4
37,FHAZ,231,2013-03-31,6
38,MAST,153,2013-01-10,205
39,MAHLI,32,2012-09-07,5
40,NAVCAM,95,2012-11-11,8
41,FHAZ,161,2013-01-18,15
42,NAVCAM,81,2012-10-28,6
43,NAVCAM,10,2012-08-16,4
44,NAVCAM,49,2012-09-25,94
45,FHAZ,129,2012-12-16,8
46,MAHLI,150,2013-01-07,129
47,NAVCAM,150,2013-01-07,34
48,RHAZ,100,2012-11-16,2
49,FHAZ,115,2012-12-02,1
50,MAST,185,2013-02-12,150
51,NAVCAM,16,2012-08-22,62
52,MAST,70,2012-10-16,66
53,NAVCAM,86,2012-11-02,16
54,RHAZ,186,2013-02-13,1
55,MAST,189,2013-02-16,56
56,NAVCAM,65,2012-10-11,6
57,RHAZ,69,2012-10-15,4
58,NAVCAM,159,2013-01-16,42
59,NAVCAM,194,2013-02-21,8
60,NAVCAM,2,2012-08-08,74
61,RHAZ,75,2012-10-22,1
62,MAST,187,2013-02-14,2
63,MAHLI,166,2013-01-23,46
64,MAST,149,2013-01-06,18
65,MAST,178,2013-02-04,8
66,MAST,108,2012-11-24,270
67,MAST,86,2012-11-02,28
68,NAVCAM,71,2012-10-17,16
69,FHAZ,176,2013-02-02,8
70,MAST,97,2012-11-13,10
71,RHAZ,61,2012-10-07,2
72,RHAZ,130,2012-12-17,3
73,NAVCAM,24,2012-08-30,108
74,CHEMCAM,226,2013-03-26,10
75,CHEMCAM,149,2013-01-06,6
76,NAVCAM,1,2012-08-07,4
77,CHEMCAM,124,2012-12-11,8
78,NAVCAM,126,2012-12-13,24
79,FHAZ,40,2012-09-16,2
80,FHAZ,188,2013-02-15,1
81,CHEMCAM,222,2013-03-22,2
82,MAST,55,2012-10-01,114
83,NAVCAM,91,2012-11-07,10
84,NAVCAM,178,2013-02-04,6
85,FHAZ,200,2013-02-27,1
86,FHAZ,90,2012-11-06,5
87,NAVCAM,60,2012-10-06,66
88,CHEMCAM,168,2013-01-25,6
89,FHAZ,52,2012-09-28,2
90,CHEMCAM,85,2012-11-01,16
91,CHEMCAM,166,2013-01-23,8
92,MAST,20,2012-08-26,1046
93,FHAZ,121,2012-12-08,4
94,MAHLI,195,2013-02-22,8
95,CHEMCAM,152,2013-01-09,8
96,RHAZ,185,2013-02-12,1
97,RHAZ,125,2012-12-12,2
98,MAST,57,2012-10-03,36
99,CHEMCAM,61,2012-10-07,4
100,RHAZ,120,2012-12-07,4
101,MARDI,134,2012-12-21,2
102,NAVCAM,184,2013-02-11,16
103,MAST,72,2012-10-18,255
104,MAHLI,66,2012-10-12,66
105,CHEMCAM,55,2012-10-01,6
106,RHAZ,224,2013-03-24,2
107,FHAZ,37,2012-09-13,2
108,MAST,48,2012-09-24,82
109,FHAZ,186,2013-02-13,1
110,MAST,25,2012-08-31,364
111,CHEMCAM,151,2013-01-08,31
112,CHEMCAM,188,2013-02-15,14
113,CHEMCAM,184,2013-02-11,16
114,RHAZ,181,2013-02-07,1
115,FHAZ,165,2013-01-22,1
116,FHAZ,227,2013-03-27,2
117,NAVCAM,177,2013-02-03,24
118,MARDI,55,2012-10-01,2
119,RHAZ,22,2012-08-28,2
120,FHAZ,199,2013-02-26,1
121,NAVCAM,29,2012-09-04,62
122,MAST,195,2013-02-22,6
123,MAST,129,2012-12-16,29
124,CHEMCAM,134,2012-12-21,28
125,RHAZ,118,2012-12-05,3
126,MAST,119,2012-12-06,16
127,NAVCAM,176,2013-02-02,16
128,MAST,109,2012-11-25,534
129,CHEMCAM,40,2012-09-16,4
130,MAST,169,2013-01-26,38
131,RHAZ,49,2012-09-25,4
132,RHAZ,89,2012-11-05,1
133,RHAZ,21,2012-08-27,2
134,FHAZ,74,2012-10-21,13
135,CHEMCAM,79,2012-10-26,12
136,MAST,85,2012-11-01,62
137,CHEMCAM,27,2012-09-02,24
138,FHAZ,101,2012-11-17,1
139,MAST,147,2013-01-04,114
140,RHAZ,172,2013-01-29,1
141,RHAZ,92,2012-11-08,1
142,FHAZ,92,2012-11-08,1
143,NAVCAM,72,2012-10-18,8
144,MAST,163,2013-01-20,224
145,MAHLI,171,2013-01-28,16
146,FHAZ,111,2012-11-28,2
147,FHAZ,57,2012-10-03,8
148,RHAZ,190,2013-02-17,1
149,FHAZ,75,2012-10-22,1
150,NAVCAM,77,2012-10-24,10
151,CHEMCAM,176,2013-02-02,10
152,CHEMCAM,194,2013-02-21,5
153,CHEMCAM,133,2012-12-20,16
154,NAVCAM,51,2012-09-27,6
155,MAHLI,231,2013-03-31,20
156,RHAZ,169,2013-01-26,1
157,MAST,98,2012-11-14,12
158,CHEMCAM,119,2012-12-06,14
159,MAST,42,2012-09-18,2645
160,FHAZ,152,2013-01-09,3
161,RHAZ,189,2013-02-16,1
162,NAVCAM,120,2012-12-07,170
163,NAVCAM,15,2012-08-21,22
164,CHEMCAM,100,2012-11-16,14
165,CHEMCAM,160,2013-01-17,8
166,MAST,19,2012-08-25,422
167,FHAZ,163,2013-01-20,3
168,MAST,36,2012-09-11,156
169,NAVCAM,57,2012-10-03,77
170,FHAZ,196,2013-02-23,1
171,RHAZ,133,2012-12-20,3
172,NAVCAM,88,2012-11-04,14
173,FHAZ,24,2012-08-30,22
174,NAVCAM,67,2012-10-13,20
175,MAST,104,2012-11-20,58
176,NAVCAM,230,2013-03-30,20
177,NAVCAM,223,2013-03-23,70
178,RHAZ,197,2013-02-24,1
179,NAVCAM,103,2012-11-19,22
180,FHAZ,185,2013-02-12,1
181,MAST,59,2012-10-05,78
182,NAVCAM,154,2013-01-11,32
183,MAST,23,2012-08-29,357
184,FHAZ,166,2013-01-23,7
185,MAHLI,176,2013-02-02,65
186,NAVCAM,33,2012-09-08,9
187,RHAZ,26,2012-09-01,2
188,FHAZ,120,2012-12-07,2
189,MAST,180,2013-02-06,9
190,FHAZ,70,2012-10-16,2
191,MAST,168,2013-01-25,20
192,CHEMCAM,131,2012-12-18,14
193,FHAZ,102,2012-11-18,4
194,NAVCAM,113,2012-11-30,24
195,CHEMCAM,193,2013-02-20,26
196,RHAZ,160,2013-01-17,1
197,FHAZ,65,2012-10-11,4
198,MARDI,100,2012-11-16,4
199,CHEMCAM,62,2012-10-08,4
200,MAST,170,2013-01-27,226
201,MAST,24,2012-08-30,76
202,FHAZ,125,2012-12-12,2
203,FHAZ,198,2013-02-25,1
204,CHEMCAM,162,2013-01-19,4
205,RHAZ,80,2012-10-27,1
206,RHAZ,123,2012-12-10,2
207,MAST,157,2013-01-14,48
208,NAVCAM,167,2013-01-24,64
209,RHAZ,227,2013-03-27,2
210,NAVCAM,127,2012-12-14,74
211,RHAZ,60,2012-10-06,2
212,FHAZ,66,2012-10-12,18
213,NAVCAM,87,2012-11-03,8
214,CHEMCAM,97,2012-11-13,10
215,MAST,137,2012-12-24,550
216,FHAZ,14,2012-08-20,4
217,FHAZ,136,2012-12-23,1
218,RHAZ,161,2013-01-18,1
219,FHAZ,182,2013-02-09,11
220,MAST,232,2013-04-01,222
221,RHAZ,183,2013-02-10,1
222,CHEMCAM,14,2012-08-20,12
223,CHEMCAM,130,2012-12-17,12
224,NAVCAM,36,2012-09-11,26
225,CHEMCAM,22,2012-08-28,12
226,NAVCAM,58,2012-10-04,12
227,NAVCAM,172,2013-01-29,26
228,MAHLI,132,2012-12-19,134
229,MARDI,25,2012-08-31,2
230,MAST,184,2013-02-11,652
231,RHAZ,39,2012-09-15,4
232,MAST,67,2012-10-13,104
233,MAHLI,90,2012-11-06,3
234,RHAZ,195,2013-02-22,1
235,MARDI,23,2012-08-29,6
236,CHEMCAM,159,2013-01-16,30
237,NAVCAM,152,2013-01-09,36
238,CHEMCAM,216,2013-03-15,2
239,MAST,113,2012-11-30,101
240,CHEMCAM,147,2013-01-04,4
241,FHAZ,131,2012-12-18,1
242,NAVCAM,174,2013-01-31,4
243,RHAZ,0,2012-08-06,8
244,RHAZ,42,2012-09-18,6
245,CHEMCAM,12,2012-08-18,22
246,RHAZ,41,2012-09-17,6
247,RHAZ,70,2012-10-16,6
248,NAVCAM,156,2013-01-13,2
249,FHAZ,225,2013-03-25,2
250,RHAZ,232,2013-04-01,2
251,NAVCAM,229,2013-03-29,2
252,NAVCAM,50,2012-09-26,66
253,FHAZ,193,2013-02-20,1
254,NAVCAM,30,2012-09-05,27
255,CHEMCAM,48,2012-09-24,4
256,NAVCAM,222,2013-03-22,9
257,NAVCAM,23,2012-08-29,16
258,MAST,76,2012-10-23,64
259,MAST,89,2012-11-05,148
260,NAVCAM,74,2012-10-21,23
261,MAST,192,2013-02-19,692
262,FHAZ,42,2012-09-18,2
263,FHAZ,62,2012-10-08,2
264,MAST,84,2012-10-31,72
265,MAHLI,98,2012-11-14,20
266,RHAZ,230,2013-03-30,2
267,RHAZ,234,2013-04-03,2
268,FHAZ,59,2012-10-05,4
269,FHAZ,178,2013-02-04,7
270,MAHLI,60,2012-10-06,78
271,RHAZ,175,2013-02-01,1
272,NAVCAM,185,2013-02-12,24
273,NAVCAM,161,2013-01-18,22
274,MAHLI,179,2013-02-05,82
275,RHAZ,166,2013-01-23,3
276,NAVCAM,134,2012-12-21,22
277,MAHLI,10,2012-08-16,2
278,RHAZ,38,2012-09-14,2
279,NAVCAM,132,2012-12-19,16
280,NAVCAM,43,2012-09-19,43
281,CHEMCAM,181,2013-02-07,12
282,MAHLI,182,2013-02-09,156
283,FHAZ,22,2012-08-28,2
284,MAST,44,2012-09-20,485
285,MAST,78,2012-10-25,700
286,FHAZ,167,2013-01-24,1
287,RHAZ,188,2013-02-15,1
288,MAST,65,2012-10-11,76
289,RHAZ,68,2012-10-14,2
290,MAHLI,230,2013-03-30,59
291,RHAZ,29,2012-09-04,2
292,FHAZ,88,2012-11-04,6
293,MAST,35,2012-09-10,33
294,NAVCAM,124,2012-12-11,98
295,MAST,106,2012-11-22,224
296,MAST,229,2013-03-29,88
297,RHAZ,235,2013-04-04,2
298,MAST,110,2012-11-27,476
299,NAVCAM,186,2013-02-13,8
300,NAVCAM,21,2012-08-27,14
301,CHEMCAM,114,2012-12-01,8
302,FHAZ,156,2013-01-13,3
303,NAVCAM,187,2013-02-14,24
304,NAVCAM,215,2013-03-14,2
305,NAVCAM,85,2012-11-01,8
306,MARDI,32,2012-09-07,2
307,NAVCAM,143,2012-12-30,64
308,RHAZ,73,2012-10-20,1
309,FHAZ,154,2013-01-11,9
310,NAVCAM,89,2012-11-05,12
311,RHAZ,156,2013-01-13,1
312,NAVCAM,135,2012-12-22,26
313,RHAZ,24,2012-08-30,10
314,NAVCAM,196,2013-02-23,4
315,NAVCAM,102,2012-11-18,99
316,FHAZ,164,2013-01-21,3
317,FHAZ,49,2012-09-25,2
318,CHEMCAM,112,2012-11-29,18
319,FHAZ,194,2013-02-21,1
320,MAHLI,61,2012-10-07,3
321,RHAZ,225,2013-03-25,2
322,FHAZ,68,2012-10-14,2
323,RHAZ,174,2013-01-31,1
324,NAVCAM,162,2013-01-19,142
325,MAST,120,2012-12-07,246
326,MAHLI,160,2013-01-17,89
327,NAVCAM,163,2013-01-20,34
328,MARDI,49,2012-09-25,2
329,MAHLI,69,2012-10-15,31
330,MAST,93,2012-11-09,38
331,FHAZ,93,2012-11-09,12
332,NAVCAM,171,2013-01-28,20
333,RHAZ,148,2013-01-05,1
334,MARDI,111,2012-11-28,2
335,FHAZ,118,2012-12-05,3
336,RHAZ,194,2013-02-21,1
337,CHEMCAM,171,2013-01-28,2
338,FHAZ,233,2013-04-02,2
339,RHAZ,16,2012-08-22,8
340,NAVCAM,226,2013-03-26,8
341,FHAZ,71,2012-10-17,2
342,CHEMCAM,87,2012-11-03,6
343,MAST,162,2013-01-19,86
344,NAVCAM,144,2012-12-31,64
345,FHAZ,50,2012-09-26,2
346,RHAZ,134,2012-12-21,1
347,FHAZ,235,2013-04-04,2
348,CHEMCAM,155,2013-01-12,4
349,MAHLI,37,2012-09-13,4
350,MAHLI,54,2012-09-30,255
351,RHAZ,131,2012-12-18,1
352,MAHLI,85,2012-11-01,130
353,RHAZ,81,2012-10-28,1
354,FHAZ,160,2013-01-17,5
355,RHAZ,231,2013-03-31,2
356,MAST,122,2012-12-09,63
357,MAST,166,2013-01-23,104
358,RHAZ,149,2013-01-06,1
359,NAVCAM,181,2013-02-07,32
360,CHEMCAM,45,2012-09-21,8
361,RHAZ,115,2012-12-02,1
362,FHAZ,73,2012-10-20,1
363,CHEMCAM,120,2012-12-07,2
364,MAST,13,2012-08-19,176
365,FHAZ,184,2013-02-11,1
366,CHEMCAM,0,2012-08-06,2
367,NAVCAM,180,2013-02-06,6
368,FHAZ,147,2013-01-04,4
369,MAST,176,2013-02-02,54
370,MAST,39,2012-09-15,44
371,CHEMCAM,66,2012-10-12,10
372,NAVCAM,59,2012-10-05,88
373,FHAZ,135,2012-12-22,1
374,MARDI,27,2012-09-02,2
375,MAST,179,2013-02-05,36
376,FHAZ,0,2012-08-06,8
377,NAVCAM,146,2013-01-03,64
378,CHEMCAM,32,2012-09-07,12
379,RHAZ,167,2013-01-24,1
380,RHAZ,135,2012-12-22,1
381,FHAZ,127,2012-12-14,8
382,FHAZ,177,2013-02-03,1
383,NAVCAM,75,2012-10-22,17
384,RHAZ,132,2012-12-19,1
385,CHEMCAM,13,2012-08-19,14
386,FHAZ,232,2013-04-01,2
387,CHEMCAM,183,2013-02-10,24
388,MAHLI,192,2013-02-19,16
389,FHAZ,124,2012-12-11,2
390,MAST,196,2013-02-23,8
391,FHAZ,173,2013-01-30,7
392,RHAZ,153,2013-01-10,7
393,RHAZ,124,2012-12-11,2
394,RHAZ,173,2013-01-30,1
395,CHEMCAM,227,2013-03-27,16
396,FHAZ,55,2012-10-01,8
397,CHEMCAM,10,2012-08-16,20
398,NAVCAM,232,2013-04-01,24
399,MAHLI,45,2012-09-21,12
400,RHAZ,136,2012-12-23,1
401,NAVCAM,68,2012-10-14,8
402,CHEMCAM,56,2012-10-02,2
403,MAST,46,2012-09-22,4
404,MAST,95,2012-11-11,16
405,RHAZ,196,2013-02-23,1
406,NAVCAM,231,2013-03-31,8
407,MAST,21,2012-08-27,48
408,NAVCAM,14,2012-08-20,40
409,NAVCAM,139,2012-12-26,64
410,CHEMCAM,135,2012-12-22,16
411,CHEMCAM,46,2012-09-22,10
412,MAHLI,169,2013-01-26,130
413,NAVCAM,198,2013-02-25,8
414,MAST,125,2012-12-12,21
415,MAHLI,73,2012-10-20,15
416,RHAZ,155,2013-01-12,1
417,CHEMCAM,49,2012-09-25,6
418,RHAZ,122,2012-12-09,2
419,MAHLI,177,2013-02-03,183
420,MAST,62,2012-10-08,16
421,NAVCAM,92,2012-11-08,7
422,FHAZ,134,2012-12-21,1
423,MAST,52,2012-09-28,70
424,RHAZ,71,2012-10-17,2
425,FHAZ,69,2012-10-15,14
426,MAHLI,89,2012-11-05,26
427,MAHLI,158,2013-01-15,248
428,MAST,112,2012-11-29,88
429,MAST,152,2013-01-09,4
430,FHAZ,171,2013-01-28,5
